fid,lat,lon,avg_dust,max_dust,min_dust
562,37.525,126.978,53.0,54,52
479,37.544000000000004,126.943,52.0,53,51
406,37.672,127.05,52.5,54,51
323,37.598,127.095,48.0,49,47
419,37.626,127.073,51.5,52,51
1,37.571,126.99,46.333333333333336,47,46
375,37.617,127.061,51.5,52,51
236,37.524,127.094,55.0,56,54
520,37.516999999999996,126.87299999999999,51.5,55,48
500,37.544000000000004,126.92,55.0,56,54
235,37.524,127.083,54.5,55,54
362,37.617,127.073,51.5,52,51
356,37.58,127.037,48.0,50,46
355,37.571,127.037,48.0,50,46
430,37.645,127.061,51.0,52,50
517,37.516999999999996,126.838,48.0,49,47
242,37.524,127.118,57.0,58,56
2,37.516999999999996,126.885,55.5,57,54
87,37.516999999999996,126.896,57.5,58,57
261,37.515,127.12899999999999,57.0,58,56
175,37.515,127.059,50.0,52,48
177,37.525,127.059,50.5,53,48
223,37.515,127.094,56.0,57,55
262,37.515,127.141,57.5,58,57
123,37.516,126.954,53.0,53,53
565,37.516,126.96600000000001,53.5,54,53
300,37.533,127.141,61.5,63,60
215,37.516,127.036,49.0,51,47
221,37.515,127.071,53.5,55,52
518,37.516999999999996,126.85,46.5,48,45
174,37.516,127.04799999999999,47.0,48,46
503,37.545,126.90799999999999,56.5,57,56
563,37.525999999999996,126.955,52.5,53,52
234,37.525,127.071,53.0,54,52
238,37.534,127.071,54.0,55,53
191,37.516,127.001,57.0,61,53
190,37.516,126.98899999999999,57.5,61,54
212,37.525,127.01299999999999,51.5,53,50
333,37.534,127.04799999999999,55.5,59,52
337,37.534,127.059,55.5,58,53
566,37.516,126.978,55.0,57,53
76,37.516999999999996,126.92,55.5,56,55
77,37.516999999999996,126.931,54.5,55,54
193,37.516,127.024,52.0,53,51
233,37.515,127.10600000000001,56.5,57,56
78,37.516999999999996,126.943,53.5,54,53
515,37.508,126.838,49.0,50,48
113,37.508,126.90799999999999,56.0,57,55
74,37.516999999999996,126.90799999999999,57.0,58,56
50,37.508,126.85,49.0,50,48
46,37.508,126.87299999999999,53.0,56,50
105,37.506,127.036,50.0,52,48
122,37.507,126.954,53.0,53,53
246,37.506,127.105,57.0,58,56
258,37.505,127.12899999999999,56.5,57,56
106,37.506,127.04700000000001,49.0,50,48
117,37.507,126.943,53.5,54,53
