fid,lat,lon,Annual_WS,Annual_WD,fid_2,DN
"355",37.571,127.037,2.92,296.02,"41","47"
"553",37.553,126.978,3.19,316.88,"41","47"
"354",37.571,127.025,2.97,298.99,"41","47"
"108",37.545,126.897,3.58,296.25,"42","57"
"503",37.545,126.908,3.6,300.1,"42","57"
"110",37.554,126.897,3.59,299.44,"42","57"
"501",37.554,126.909,3.57,302.4,"42","57"
"504",37.563,126.897,3.53,301.09,"42","57"
"505",37.563,126.909,3.48,303.75,"42","57"
"274",37.57,127.153,3,282.7,"43","56"
"273",37.56,127.165,2.9,274.57,"43","56"
"275",37.57,127.165,2.99,279.94,"43","56"
"277",37.551,127.176,2.81,268,"43","56"
"309",37.569,127.176,2.96,277.7,"43","56"
"308",37.56,127.176,2.89,271.9,"43","56"
"274",37.57,127.153,3,282.7,"44","57"
"272",37.561,127.153,2.93,279.25,"44","57"
"276",37.551,127.164,2.88,270.78,"44","57"
"273",37.56,127.165,2.9,274.57,"44","57"
"275",37.57,127.165,2.99,279.94,"44","57"
"277",37.551,127.176,2.81,268,"44","57"
"308",37.56,127.176,2.89,271.9,"44","57"
"307",37.542,127.129,2.96,277.26,"45","64"
"303",37.552,127.13,2.98,288.67,"45","64"
"268",37.542,127.141,2.88,272.45,"45","64"
"270",37.551,127.141,2.93,282.46,"45","64"
"335",37.543,127.048,3.13,285.21,"46","60"
"307",37.542,127.129,2.96,277.26,"47","63"
"303",37.552,127.13,2.98,288.67,"47","63"
"300",37.533,127.141,2.86,271.38,"47","63"
"268",37.542,127.141,2.88,272.45,"47","63"
"270",37.551,127.141,2.93,282.46,"47","63"
"333",37.534,127.048,3.18,280.88,"48","59"
"338",37.543,127.06,3.1,282.23,"48","59"
"335",37.543,127.048,3.13,285.21,"48","59"
"216",37.534,127.013,3.19,299.07,"49","48"
"559",37.544,126.967,3.24,303.51,"49","48"
"557",37.544,126.978,3.19,308.69,"49","48"
"568",37.534,127.001,3.22,303.19,"49","48"
"480",37.563,126.955,3.32,319.43,"49","48"
"478",37.572,126.955,3.49,322.93,"49","48"
"310",37.562,126.967,3.18,318.06,"49","48"
"4",37.581,126.967,3.43,314.06,"49","48"
"5",37.572,126.967,3.29,318.12,"49","48"
"496",37.553,126.955,3.27,313.19,"49","48"
"558",37.553,126.967,3.19,312.22,"49","48"
"279",37.581,126.979,3.17,316.42,"49","48"
"7",37.581,126.99,3.13,315.9,"49","48"
"369",37.59,126.991,3.32,321.98,"49","48"
"327",37.59,127.002,3.2,314.67,"49","48"
"332",37.544,127.013,3.17,299.17,"49","48"
"328",37.59,127.014,3.02,310.64,"49","48"
"278",37.58,127.025,2.95,302.61,"49","48"
"231",37.59,127.025,2.93,307.06,"49","48"
"357",37.589,127.037,2.84,305.15,"49","48"
"356",37.58,127.037,2.9,299.48,"49","48"
"537",37.581,127.002,3.09,311.64,"49","48"
"538",37.571,127.013,2.99,301.15,"49","48"
"539",37.58,127.014,3.01,307.54,"49","48"
"546",37.553,126.99,3.36,312.04,"49","48"
"547",37.562,126.99,3.29,300.78,"49","48"
"548",37.562,127.002,3.2,293.04,"49","48"
"549",37.553,127.002,3.36,301.87,"49","48"
"550",37.553,127.013,3.17,297.77,"49","48"
"551",37.562,127.013,3.05,295.49,"49","48"
"552",37.562,127.025,3.03,298.78,"49","48"
"355",37.571,127.037,2.92,296.02,"49","48"
"555",37.544,126.99,3.23,312.2,"49","48"
"569",37.544,127.001,3.27,306.12,"49","48"
"571",37.562,127.037,2.95,297.09,"49","48"
"553",37.553,126.978,3.19,316.88,"49","48"
"354",37.571,127.025,2.97,298.99,"49","48"
"333",37.534,127.048,3.18,280.88,"50","58"
"337",37.534,127.059,3.15,281.48,"50","58"
"338",37.543,127.06,3.1,282.23,"50","58"
"335",37.543,127.048,3.13,285.21,"50","58"
"339",37.552,127.06,3.01,284.73,"50","58"
"336",37.552,127.048,3.03,290,"50","58"
"306",37.533,127.129,2.96,274.2,"51","62"
"307",37.542,127.129,2.96,277.26,"51","62"
"303",37.552,127.13,2.98,288.67,"51","62"
"300",37.533,127.141,2.86,271.38,"51","62"
"268",37.542,127.141,2.88,272.45,"51","62"
"270",37.551,127.141,2.93,282.46,"51","62"
"271",37.551,127.153,2.87,275.41,"51","62"
"269",37.542,127.153,2.85,268,"51","62"
"333",37.534,127.048,3.18,280.88,"52","57"
"337",37.534,127.059,3.15,281.48,"52","57"
"338",37.543,127.06,3.1,282.23,"52","57"
"335",37.543,127.048,3.13,285.21,"52","57"
"334",37.543,127.036,3.13,290.36,"52","57"
"339",37.552,127.06,3.01,284.73,"52","57"
"336",37.552,127.048,3.03,290,"52","57"
"333",37.534,127.048,3.18,280.88,"53","56"
"218",37.534,127.036,3.18,283.94,"53","56"
"337",37.534,127.059,3.15,281.48,"53","56"
"338",37.543,127.06,3.1,282.23,"53","56"
"335",37.543,127.048,3.13,285.21,"53","56"
"334",37.543,127.036,3.13,290.36,"53","56"
"326",37.553,127.036,3.03,295.97,"53","56"
"339",37.552,127.06,3.01,284.73,"53","56"
"336",37.552,127.048,3.03,290,"53","56"
"238",37.534,127.071,3.14,280.74,"54","55"
"353",37.543,127.071,3.09,280.5,"54","55"
"340",37.552,127.071,3.01,281.91,"54","55"
"333",37.534,127.048,3.18,280.88,"54","55"
"218",37.534,127.036,3.18,283.94,"54","55"
"337",37.534,127.059,3.15,281.48,"54","55"
"338",37.543,127.06,3.1,282.23,"54","55"
"334",37.543,127.036,3.13,290.36,"54","55"
"326",37.553,127.036,3.03,295.97,"54","55"
"339",37.552,127.06,3.01,284.73,"54","55"
"336",37.552,127.048,3.03,290,"54","55"
"216",37.534,127.013,3.19,299.07,"55","49"
"554",37.535,126.99,3.26,303,"55","49"
"559",37.544,126.967,3.24,303.51,"55","49"
"557",37.544,126.978,3.19,308.69,"55","49"
"568",37.534,127.001,3.22,303.19,"55","49"
"480",37.563,126.955,3.32,319.43,"55","49"
"478",37.572,126.955,3.49,322.93,"55","49"
"482",37.581,126.955,3.69,318.86,"55","49"
