Politic_tags,number,overlap_num,overlap_word
집회,64,9,"['태극기집회', '폭력집회', '촛불집회', '태극기집회자금', '대구집회', '태극기집회경찰', '우리은해규탄집회', '박대통령조원진서울역태극기집회문화무죄이완구홍준표대한애국당정치자한당더불어민주유튜브박정희검찰법원', '박근혜대통령보수대구태극기집회대한애국당조원진자한당홍준표문재인국민의당민심국회대한민국여론친박']"
김문수,64,0,[]
삼성,64,3,"['삼성동사저', '삼성동코엑스', '삼성세탁기lg세탁기관세']"
재판,64,8,"['재판부', '헌법재판소', '재판문서', '장시호재판', '최경환재판', '박근혜재판', '이정미재판관', '최순실재판']"
오바마,64,1,['오바마아시아정책']
새누리당,64,0,[]
민경욱,64,0,[]
미군철수,64,1,['주한미군철수발언']
이재용,64,1,['이재용공판내용']
최태민,63,0,[]
관훈,63,2,"['관훈나이트클럽', '이낙연관훈토론']"
노조,63,5,"['언론노조', 'mbc노조', 'kbs공영노조', '전국언론노조', 'kbs공영노조위원장']"
정봉주,63,14,"['정봉주의정치쇼', '정봉주의전국구', '정봉주정치쇼', '정봉주광고', '정봉주의원', '나꼼수정봉주', '정봉주복권', '정봉주의전구구', '정봉주서울시장', '나꼼수주진우정봉주', '정봉주의전국구시즌2', '정봉주와친구들', '정봉주감옥', '정봉주구속']"
김규리,63,0,[]
조윤선,62,0,[]
김종대,62,7,"['김종대의원', '김종대이국종', '정의당김종대', '김종대정의당', '이국종김종대', '김종대페이스북', '김종대임종석']"
국무장관,61,1,['틸러슨미국무장관']
출당,61,0,[]
동문서답,61,0,[]
재배치,61,1,['기사재배치']
토론,61,18,"['백반토론주간모음', '9595쇼백반토론', '백반토론풀버전', '배칠수전영미백반토론', '백반토론다시듣기', '백반토론', '손석희토론', 'jtbc신년토론', '신년토론', '밤샘토론', '정책토론회', '이재명토론', '100분토론', '이낙연관훈토론', '2018jtbc신년토론회', '신년토론회', '토론회', '백반토론나는짐이다']"
핵개발,61,0,[]
핵실험,61,0,[]
김사랑,61,0,[]
독도,61,1,['독도새우']
유병언,61,0,[]
slbm,61,0,[]
택시운전사,61,0,[]
목함지뢰,61,0,[]
대선,61,1,['대선자금']
전술핵,61,0,[]
저축은행,61,0,[]
김기춘,61,0,[]
진주의료원,61,0,[]
힐러리,61,0,[]
박지원,60,5,"['박지원독설', '박지원의원', '박지원안철수', '박지원달걀', '박지원계란']"
