Game_tags,number,overlap_num,overlap_word
mukbang,26,1,['couplemukbang']
루리tv,25,1,['좀비고루리tv']
play,25,10,"['playwithtoy', 'playstation', 'playstation4', 'gameplaylol', ""playerunknown'sbattlegrounds"", ""playerunknown'sbattleground"", ""playerunknown's"", 'clashofclansgameplay', 'gameplay', 'playnintendo']"
마인크래프트컨텐츠,25,0,[]
꽃빈부부,25,0,[]
러너교,25,1,['러너교주']
러너,25,9,"['러너교', '러너꽃빈', '러너부부', '러너방송', 'bj러너', '러너교주', '러너웨이', '러너군인', '러너군대']"
러너꽃빈,25,0,[]
팔근,25,0,[]
꽃빈,25,5,"['꽃빈부부', '러너꽃빈', '이꽃빈', 'bj꽃빈', '꽃빈방송']"
비누국,25,2,"['비누국프리파이어', '비누국프파']"
늪지대,25,1,['늪지대거북']
이꽃빈,25,0,[]
러너부부,25,0,[]
부부,25,3,"['꽃빈부부', '러너부부', '대댕부부']"
로블록스도티,24,0,[]
토이,24,2,"['다다토이', '플레이위드토이']"
키덜트,24,1,['키덜트그램']
웃음참기,24,14,"['웃음참기레전드', '웃음참기레전드99999', '웃음참기동영상', '웃음참기챌린지', '웃음참기9999', '웃음참기레전드9999', '웃음참기7단계', '웃음참기영상', '웃음참기첼린지', '웃음참기고양이', '웃음참기한국', '웃음참기개', '웃음참기동물', '웃음참기2018']"
도티로블록스,24,0,[]
개조팽이,23,0,[]
팽이배틀,23,0,[]
생방,23,1,['조매력생방송']
beyblade,23,2,"['beybladeburstgod', 'beybladeburstz']"
마크에이지,23,2,"['마크에이지4', '마크에이지리턴즈']"
레전드,23,9,"['리그오브레전드', '웃음참기레전드', '웃음참기레전드99999', '웃음참기레전드9999', '웃긴레전드영상', '예능레전드', '더빙레전드', '성대모사레전드', '레전드예능']"
beybladeburstgod,23,0,[]
녹방,23,0,[]
베이블레이드버스트갓,23,0,[]
마인크래프트점프맵,23,0,[]
마인크래프트건축,23,0,[]
let's,22,0,[]
렛츠플레이,22,0,[]
스트리머,22,2,"['트위치스트리머', '스트리머홍방장']"
워크쓰루,22,0,[]
walkthrough,22,0,[]
워크스루,22,0,[]
minecraft상황극,21,0,[]
도티모바일게임,21,0,[]
마인크래프트맵,21,0,[]
minecraft맵,21,0,[]
공포게임,21,0,[]
러너방송,21,0,[]
도티잠뜰,21,0,[]
도티쵸쵸우,21,0,[]
dkrdj,21,0,[]
모바일게임도티,21,0,[]
rush,21,4,"['rushhighscore', 'rushball', 'rush테드', '모바일rush']"
acau,21,0,[]
마인크래프트리뷰,21,0,[]
맵마인크래프트,21,2,"['탈출맵마인크래프트', '점프맵마인크래프트']"
콘텐츠마인크래프트,21,0,[]
모드마인크래프트,21,0,[]
minecraft건축,21,0,[]
minecraft모드,21,0,[]
상황극마인크래프트,21,0,[]
웃음참기레전드,21,2,"['웃음참기레전드99999', '웃음참기레전드9999']"
컨텐츠마인크래프트,21,0,[]
건축마인크래프트,21,0,[]
minecraft컨텐츠,21,0,[]
minecraft리뷰,21,0,[]
minecraft탈출맵,21,0,[]
minecraft점프맵,21,0,[]
블리자드엔터테인먼트,20,0,[]
라이더공략,20,0,[]
